Login,Number,IssueNumber,IssueCount,IssueLabels,Events,FirstTime,Pulls,Commits,Additions,Deletions,ChangedFiles,Comments,ReviewComments
mowenzi,1414080903118,131,1,,14,2017-03-07T13:09:45Z,8,13,484,25,18,5,0
hshaohua,1414080903127,28,1,,15,2017-03-05T06:38:06Z,8,11,1198,239,48,1,0
invalid-email-address,1414080903214,0,0,,0,,0,0,0,0,0,0,0
123dolala,1414080903111,25,1,,13,2017-03-03T15:15:26Z,7,14,673,267,21,5,0
anzhoulin,1414080903119,158,1,,12,2017-03-10T08:14:55Z,7,8,602,0,16,0,0
mokulai,1414080903240,30,1,,20,2017-03-03T11:16:39Z,10,18,1451,441,37,4,0
1414080903124,1414080903124,73,1,,18,2017-03-03T15:01:40Z,8,12,634,35,33,0,0
xiang,1414080903108,0,0,,0,,0,0,0,0,0,0,0
mamingjian,1414080903109,178,1,,10,2017-06-03T10:31:28Z,4,6,554,11,21,2,0
LittleUncle,1414080903135,142,1,,17,2017-03-09T11:43:00Z,6,11,1472,465,29,4,0
zhongxiwu,1414080903136,90,1,,11,2017-03-04T15:40:40Z,7,8,642,105,29,1,0
zengsn,null,8,8,实验,2,2017-03-03T09:47:09Z,1,1,3524,0,91,0,0
xiemz,1414080903227,23,1,,2,2017-03-09T02:21:05Z,1,1,32,0,2,0,0
kewu621700,1414080903115,149,1,,2,2017-03-16T08:35:13Z,1,1,32,0,2,0,0
erdongxin,1414080903122,59,1,,15,2017-03-03T12:13:53Z,6,8,766,2,32,5,0
AmoTF,1414080903222,27,1,,12,2017-03-04T15:27:25Z,6,12,708,153,43,0,0
Qlzr,1414080903116,21,1,,13,2017-03-03T12:34:53Z,7,9,723,76,32,1,0
zida106,1414080903106,33,1,,10,2017-04-24T23:53:08Z,7,13,950,84,22,1,0
ileyinan,1414080903231,26,1,,15,2017-03-03T11:17:21Z,13,16,1358,208,42,2,0
pengtianzhu,null,106,1,,13,2017-03-04T17:10:43Z,6,15,472,19,16,5,0
wetstreet,1414080903226,10,1,APP,10,2017-03-03T13:38:56Z,6,12,896,3,8,2,0
Lee20170303,1414080903235,146,1,,20,2017-03-12T04:05:25Z,9,14,704,0,11,2,0
Paynehe,1414080903103,66,1,,14,2017-03-03T13:36:13Z,8,12,590,165,15,1,0
pengwx,1414080903224,63,1,,14,2017-03-04T06:56:19Z,8,8,439,36,25,1,0
zhongwbang,1414080903202,34,1,,11,2017-03-10T08:03:10Z,5,7,959,52,35,0,0
pengliangjun,1409081602222,39,1,,16,2017-03-09T02:12:05Z,11,14,636,13,25,1,0
claixiang,12345678,67,1,,23,2017-03-03T13:55:17Z,9,22,320,80,14,4,0
14w2mary,1414080903219,153,1,,11,2017-03-10T07:57:05Z,6,9,1284,244,39,0,0
jackccc,1414080903120,0,0,,0,,0,0,0,0,0,0,0
zhangdixi,1414080903105,40,1,,12,2017-03-10T01:27:44Z,6,10,555,36,20,3,0
14lihaoming,1414080903128,85,1,,13,2017-03-04T14:49:34Z,8,13,500,63,21,4,0
nickgezi,1414080903112,16,1,,11,2017-03-03T11:17:30Z,7,10,252,10,11,8,0
xuchunyu14,1409081602222,37,1,,19,2017-03-11T11:23:06Z,10,16,983,89,43,1,0
1414080903104,1414080903104,22,1,,14,2017-03-04T03:43:30Z,8,12,1047,199,38,1,0
net217ptz,1414080903217,92,1,,6,2017-03-04T08:33:03Z,3,5,30,0,2,0,0
vwuyang,1414080903139,177,1,,14,2017-03-17T07:52:17Z,7,11,426,16,22,4,0
linzihong888,1414080903131,0,0,,0,,8,9,946,26,32,0,0
QuanGuanQiao,1414080903114,71,1,,16,2017-03-03T13:46:16Z,9,16,678,211,23,0,0
zhouchenghai,1414080903113,42,1,,8,2017-03-10T08:08:50Z,3,7,685,0,15,0,0
unknown,1414080903119,0,0,,0,,0,0,0,0,0,0,0
xiwu zhong,1414080903136,0,0,,0,,0,0,0,0,0,0,0
trjie,1414080903234,19,1,,20,2017-03-03T09:02:46Z,8,17,2330,115,61,0,0
liangyajing,null,150,1,,0,,2,1,30,0,2,1,0
Lyonly,1414080903209,31,1,APP,9,2017-03-03T17:29:16Z,5,1,8,2,1,3,0
livehan,1412070501227,93,1,,20,2017-03-05T04:27:02Z,13,16,602,124,18,0,0
yuanxiaofengzuishuai,1414080903132,172,1,,15,2017-03-13T15:17:29Z,8,6,767,44,27,1,0
666Ohayo,1414080903140,29,1,,10,2017-03-09T02:51:41Z,5,6,789,9,27,1,0
Linzihong666,null,154,1,,14,2017-03-11T04:50:14Z,0,0,0,0,0,0,0
zzh1414080903218,1414080903218,24,1,APP,12,2017-03-04T13:28:15Z,6,6,1335,314,36,1,0
czb125,1414080903125,14,1,,14,2017-03-03T09:26:35Z,7,7,587,64,19,4,0
hizzj,1414080903110,36,1,,12,2017-03-08T03:10:46Z,6,6,777,90,36,0,0
duguhaojie,1414080903101,35,1,,18,2017-03-09T03:16:28Z,5,12,1162,5,29,2,0
JCLin0318,1414080903117,128,1,APP,21,2017-03-07T12:37:09Z,9,10,1313,97,40,2,0
net1414080903214,1414080903135,169,1,,12,2017-03-12T16:29:11Z,5,10,788,5,18,2,0
FYJ1995,1414080903203,117,1,,13,2017-03-05T13:23:52Z,6,8,666,2,17,1,0
HardyYao,1414080903212,13,1,APP,20,2017-03-03T09:42:40Z,7,12,2053,400,66,1,0
zhangguowei,1414080903121,38,1,,12,2017-03-05T14:20:11Z,6,6,962,0,24,0,0
wangkaiqi,1414080903201,32,1,,13,2017-03-10T08:20:07Z,10,9,861,1,18,1,0
shezhiming,1414080903230,15,1,,17,2017-03-03T13:39:35Z,10,15,694,53,23,4,0
jackccc1905,null,12,1,APP,10,2017-04-28T07:13:09Z,6,7,2200,437,48,12,0
wubucheng,1414080903220,76,1,APP 很好 讲解,20,2017-03-03T15:44:06Z,7,17,2889,52,65,4,0
LouQingYi,1414080903133,56,1,,12,2017-03-04T14:46:08Z,6,8,905,12,24,1,0
liuzezhao,1414080903213,20,1,,18,2017-03-03T10:51:29Z,12,17,998,82,40,6,0
IcyvE,1414080903126,134,1,,15,2017-03-10T01:23:32Z,9,9,858,169,41,1,0
Feirty,1414080903229,43,1,,21,2017-03-03T10:00:16Z,10,17,901,145,18,4,0
xiaochenfff,1414080903138,88,1,,13,2017-03-04T08:05:43Z,6,10,961,430,36,0,0
ZGH1780,1414080903232,48,1,,16,2017-03-03T16:03:13Z,7,8,517,13,15,5,0
14YuQingBin,1414080903130,129,1,,15,2017-03-07T13:10:56Z,8,7,1162,80,42,0,0
